Organization Name,Mission Statement,Website Link 
Brethren Care Village,Brethren Care Village is a Christian based senior living community providing exceptional care and services. Our Values are: Compassion Attitude Respect Integrity Nurturing Giving,http://brethrencarevillage.org
OhioHealth Hospice,The Support you need. The dignity you deserve.,http://ohiohealth.com
Generation NOW Cincinnati Network,Generation NOW Cincinnati Network: Mission: To encourage the continued development and engagement of our young professionals in the greater Cincinnati area. Our vision is to enhance the vitality of the Tri-State region by promoting and developing a s...,n/a
COLEMAN PROFESSIONAL SERVICES,"Coleman Professional Services' mission is to be a professional organization that helps improves the lives of individuals, families, and business in Ohio. We accomplish this mission through continuous improvement, customer responsiveness, service effi...",http://www.colemanservices.org
NAMI of Greater Toledo,"NAMI of Greater Toledo is a community based, family and consumer focused organization, dedicated to improving the lives of people with severe mental illness through support, education and advocacy.",http://namitoledo.org
FALLEN FIFTEEN,"Our mission objective is to continue to make a positive difference in our world in the name of those who gave all by upholding the Fallen 15’s ethos: Honor.Celebrate.Inspire. ™ Through the use of traditional and social media, community outreach...",http://www.honorcelebrateinspire.com
YBS-YOUR BEST SELF,Your Best Self works to provide life and social skills while fostering inclusiveness between the disabled and broader community.,n/a
Westside Free Store Ministries,The purpose of our ministry is to provide support to persons/families that have limited to no resources by providing them with clothing and household goods at absolutely no cost. By providing this support it is our intention to help families that are...,http://westsidefreestore.org
The National Kidney Foundation - Northeast Ohio,"The National Kidney Foundation is the leading organization in the U.S. dedicated to the awareness, prevention and treatment of kidney disease for hundreds of thousands of healthcare professionals, millions of patients and their families, and tens of ...",http://www.kidneywalk.org
SECOND CHANCE WILDLIFE RESCUE ASSOCIATION,"Dedicated to native Ohio wildlife Rehabilitation, Education, and Conservation.",http://www.secondchancewildlife.org
The Licking County Humane Society,"The Licking County Humane Society is a 501(c)(3) non-profit organization devoted to the humane treatment of animals. The Licking County Humane Society seeks to improve the lives of animals and people through advocacy, education, and support. All boar...",http://www.lchspets.org
JUDSON HOME CARE,"The mission of Judson Home Care is, ""to create a caring community for older adults for connection, engagement and support."" Our values are reflected in our programs and services through respecting individuals, ensuring quality, embracing diversity, m...",http://www.judsonsmartliving.org
Dohn Community,"Our Mission Statement Dohn Community High School is a small, personalized, non-traditional school, committed to serving educationally at-risk students in a safe, orderly environment by developing the basic academic, career, and social skills needed t...",http://www.dohnschool.org
VOLUNTEER ADMINISTRATORS NETWORK,"The Volunteer Administrators’ Network (VAN), a professional membership organization, is committed to promoting volunteerism and excellence through quality professional development opportunities.",http://www.vancentralohio.org
The Weils,"The Weils provides the finest in residential care, with services and amenities that exceed the highest standards of excellence. The Weils is dedicated to enhancing the distinctive lifestyle of its residents. Above all, the Weils staff of healthcare p...",http://www.theweils.org
PONY TAILS FARM,"Pony tales mission is to help ponies and horses of all types and educate children,adults as well as the community about the equine.",http://Ponytalesfarm.org
Face The World Foundation,Face The World Foundation (FTW) was founded on the philosophy of learning through experience. We are an organization expressly developed to bring together international students and American families wishing to share thier homes with them.,http://www.facetheworld.org
HOCKING COUNTY CHILDRENS CHORUS,"The Hocking County Children’s Chorus (HCCC) is a community based, non-profit organization that was founded in 1979. The mission of the chorus is to provide the children of Hocking County a culturally diverse musical experience, and an opportuni...",https://www.hockingcochildrenschorus.org
ROSCOE VILLAGE FOUNDATION INC,"The Roscoe Village Foundation, Inc. is the Preservation, Restoration, and Interpretation of Roscoe Village's heritage during the era of the Ohio and Erie Canal.",http://roscoevillage.com
The North American Rescue Collective,"Through partnering with shelters in the Midwest region, we strive to aid in the implementation of sustainable programs that address the issues of canine overpopulation, abuse, and neglect. In addition, these programs should promote responsible pet pa...",n/a
INTERLOCAL,"Interlocal promotes citizenship for high school students from Richland County, Ohio through international experiences and civic engagement",http://gointerlocal.org
ELFRID PAYTON FOUNDATION INC,"The Elfrid Payton Foundation is committed to empowering youth and families in the areas of arts and culture, wellness, and literacy.",http://elfridpayton.org
Dayton International Peace Museum,"Our vision is to inspire a culture of peace. Our mission: To contribute to a local, national, and international culture of peace through exhibits, activities, and events that focus on nonviolent choices.",http://www.daytonpeacemuseum.org
AKRON AREA SOAP BOX DERBY INC,"The Soap Box Derby is an international nonprofit organization whose mission is to build knowledge and character, and to create meaningful experiences through collaboration and fair and honest competition.",http://www.soapboxderby.org/akron-area.aspx
GROVE CITY ARTS COUNCIL,"Grove City Arts Council is comprised of a body of artists and art-enthusiasts who are dedicated to sponsoring venues for diverse artistic expression, supporting young artists through the Art Scholarship Fund and promoting interest in the Arts of Grov...",http://Www.grovecityartscouncil.org
CLEVELAND BAPTIST ASSOCIATION,"The Cleveland Baptist Association (CBA) is a regional office and integral member of the American Baptist Churches, USA (ABCUSA) with a current membership of thirty-eight churches in the greater Cleveland area. CBA relates actively with ecumenical org...",http://www.cbacleveland.org
We Solve Problems,"We Solve Problems was created to provide a truly innovative event for our community, in which business leaders share in the responsibility of teaching business skills to students while simultaneously facilitating possible solutions to a problem. By c...",http://www.wesolveproblems-essay.com
INSTITUTE FOR CULTURALCOMMUNICATORS INC,We are global community empowering next-generation Christians to influence today's culture.,https://iccinc.org/
CHARLES K KING TR 3 AWMI,"creating beautiful gardens for enjoyment, education, and inspiration",http://www.kingwoodcenter.org
Cleveland Hope Lodge,"The American Cancer Society's Hope Lodge is helping cancer patients, and their caregivers, GET WELL by taking away the extra emotional and financial burden of finding a place to stay during an already challenging time. Hope Lodge is not just a place ...",http://www.cancer.org
THE REFUGEE RESPONSE,The Refugee Response empowers refugees to become self-sufficient and contributing members of their new communities. The Refugee Response was formed to help refugees adjust to life in Northeast Ohio. We work to empower our area's growing newcomer popu...,https://www.refugeeresponse.org/
Koinonia,"Partnering with people who have developmental disabilities to achieve, healthy, fulfilling, enriched lives.",http://www.koinoniahomes.org
MIRACLES IN MOTION,Miracles in Motion's mission is to utilize the arts to help with the emotional well-being of youth while at the same time enhancing their educational experience.,http://miraclesinmotion20.wix.com/miraclesinmotion
IN STEP WITH HORSES,In Step With Horses helps people uncover their strengths and rebalance their lives through a partnership with animals and nature.,http://www.instepwithhorses.org
Elizabeth's New Life Women's Center,To empower individuals to achieve sexual integrity and make healthy life choices respecting the value of each person created by God.,http://www.elizabethhelps.com
COLUMBUS BLACK INTERNATIONAL FILM FESTIVAL,"The primary objective of the festival is to showcase Black filmmakers locally, nationally and internationally, while creating an opportunity to network with various people in the filmmaking community. CBIFF will highlight a spectrum of stories told b...",http://www.columbusbiff.com
Global Ties Akron,"Big Love is an evolving network of organizers, permaculturists, healing practitioners, and artists that facilitate neighbor-led/creative placemaking, sustainability, and health equity efforts throughout Akron as a means for social change. Sociocracy,...",https://biglovenetwork.us/big-love-festival/
Greater Cincinnati Behavioral Health Services,To assist persons with mental illness and related barriers to live productive and fulfilling lives.,http://www.gcbhs.com
Freeset USA,Freeset USA's goal is to bring freedom to those who are struggling with generational poverty and sexual exploitation through selling their products and advocating about the realities of human trafficking.,http://freesetusa.com
Symmes Elementary School,The mission of the Symmes PTO is to foster a collaborative relationship between school and home by encouraging all families to become involved at Symmes Elementary.,n/a
CONCERNED CITIZENS AGAINST VIOLENCE AGAINST WOMEN INC,"Turning Point has the social responsibility to respond to the needs of domestic violence victims by providing shelter, counseling, advocacy and general support services and to identify and confront the causes of domestic violence.",http://turningpoint6.org/
The Children's Home of Cincinnati,The mission of The Children's Home of Cincinnati is to transform the lives of vulnerable children through individualized treatment and education services that build the skills and confidence to succeed in life.,http://www.thechildrenshomecinti.org
Greater Cincinnati Behavioral Health Services,Greater Cincinnati Behavioral Health Services helps people discover and use their strengths to attain and sustain their social and emotional well-being to lead productive and fulfilling lives.,https://www.gcbhs.com/
Avondale Development Corporation,The Avondale Development Corporation leads residential and economic development initiatives and works collaboratively to address priorities that promote the well-being of Avondale residents.,https://www.growavondale.org
Sojourner Recovery Services,"At Sojourner, we consider recovery not as the end of a journey, but as the beginning - the beginning of an incredible path to a new life and new potential.",http://www.sojournerrecovery.org
Central Ohio Youth Advocacy Program,"Central Ohio Youth Advocacy Program is committed to excellence in providing youth and children with mentoring, counseling, and prevention services. This commitment extends to the community by providing education on positive methods to support our you...",http://coyapinc.org
PYRAMID CDC,"OUR MISSION: Assist in the long-term development and stabilization of the Linden Community by mobilizing Ladders of Opportunities to affordable housing, economic empowerment, educational enrichment resources and technology programming. ﻿",http://www.pyramidcdc.org
Celina Nonprofit,"Our mission is to develop strategies to promote and improve the health and wellness of families, caregivers, and friends affected by disabilities through an array of events aimed at mental, physical, and emotional health and well-being and self-care.",http://celinanonprofit.weebly.com
WISE EDUCATIONAL SERVICES CORPORATION,"Our mission is to aid individuals from all socioeconomic strata’s by improving their educational, interpersonal, communication, and socialization skills.",https://www.wiseohio.com
ECFM/Coit Road Farmers Market,"The Coit Road Farmers Market supports family farmers by providing a space to sell directly to customers and helping to promote their product. For most family farmers, this is an essential link to keeping their farms viable. We promote protection of f...",http://coitmarket.org
T1DIABETES JOURNEY INC,"To provide support, wellness education, and need based financial resources for prescription related expenses. T1DJ will foster direct involvement with other awareness organizations that share similar visions.",http://www.t1diabetesjourney.org
Musical Arts Association,"The ""MAA's very reason for being"" is to provide inspirational experiences by serving the art of music at the highest levels of artistic excellence. To meet such high expectations, the MAA upholds ""essential and enduring tenets"" that include both indi...",http://clevelandorchestra.com
SACRED HEART RADIO INC,"Sacred Heart Radio is listener-supported Catholic radio, with the mission of using the power of broadcasting for the new evangelization of the Truth of Jesus Christ as taught by the Catholic Church, while also providing the practical tools and suppor...",http://www.sacredheartradio.com
FRANCISCAN SISTERS OF THE POOR,"In offering herself to God for poor and suffering humanity, Blessed Frances, in a very deep sense, heeded the words of the Gospel: ""The gift you have received, give as a gift."" (Matt. 10:7) Following her example, we offer our gifts and talents to tho...",http://fransiscansistersofthepoor.org
Lakeland Community College,College Mission statement To provide quality learning to meet the social and economic needs of the community.,http://lakelandcc.edu
Immigrant and Refugee Law Center,"The Immigrant and Refugee Law Center provides access to critical legal services to immigrant and refugee families in the Greater Cincinnati area in order to help create a more welcoming, safer, and more stable community for families.",http://irlawcenter.org
POSITIVE TRANSITIONING INC,"It is our Mission to provide returning citizens with the necessary, immediate and long term resources needed to successfully reintegrate back into the community. We will achieve this by providing resources for employment, housing, education, and life...",http://www.positivetransitioning.org
BELLEFAIRE JEWISH CHILDRENS BUREAU,"Bellefaire JCB is an innovative organization that provides exceptional care, education, and advocacy to enhance the emotional, physical and intellectual well-being of children, young adults, and families in the Jewish and general communities. In addi...",http://www.bellefairejcb.org
Greater Cleveland Sports Commission,"The mission of the Greater Cleveland Sports Commission is to measurably enhance the economy, image and quality of life in the Greater Cleveland community by attracting and creating significant sporting events and activities. Since 2000, the Sports Co...",http://www.clevelandsports.org
Chicktime OH- Akron,"Chicktime encourages women to develop their passions and use their gifts to make the world a better place for the next generation. Chicktime Akron has many members, and grows annually! All of our members believe that EVERY girl needs support & love, ...",http://www.chicktime.com/akron
Chicktime OH- Cincinnati,"Chicktime encourages women to develop their passions and use their gifts to make the world a better place for the next generation. Chicktime Cincinnati has many members, and grows annually! All of our members believe that EVERY girl needs support & l...",http://www.chicktime.com/cincinnati
FRIENDS OF STONELICK STATE PARK INC,"To serve as a volunteer organization for support and maintenance of the park. Working together, we will assist Stonelick State Park staff in achieving their goals by providing quality services, recreational facilities and educational programs for par...",http://www.friendsofstonelick.com
CASA/GAL Program of Stark County,It is our goal to see that all foster children have a voice in court. Our dedicated volunteers speak for the child.,n/a
HOSPICE OF NORTH CENTRAL OHIO INC,Peace of mind and comfort through compassionate care.,https://www.hospiceofnorthcentralohio.org/
After School All Stars Ohio,"Kids Unlimited commits to offering children in under-served areas the opportunities they need to reach their fullest potential. We will do this by helping them develop the necessary academic and social tools, along with a strong sense of values and c...",http://asasohio.org/
PREVENTION ACTION ALLIANCE,"Prevention Action Alliance is an Ohio 501(c)(3) nonprofit charitable organization with a mission: leading healthy communities in preventing substance misuse and promoting mental health wellness. To accomplish that mission, we rely on the leadership o...",http://preventionactionalliance.org/
MIDTOWN CLEVELAND,We leverage our diverse assets to develop a dynamic neighborhood that unites the city’s downtown and innovation districts.,http://www.midtowncle.org
St. Clairsville Area Soccer Assoc,To promote the sport of soccer to youth with a physical location and provide the volunteer organization and supplies to make the program viable.,http://www.eteamz.com/stcareasoccerassoc/
"ViaQuest, Inc.","At ViaQuest Hospice we help people facing serious illness regain the moments that matter most. We’ll be there with expert medical care, understanding and an increased level of support.",http://viaquestinc.com
TAASC,"TAASC connects individuals with disabilities, their families, volunteers, and community organizations through a lifetime of adventure sports. We accomplish this by providing volunteer-driven adventure opportunities, promoting teamwork, and fostering ...",http://www.taasc.org
Columbus Children's Theatre,"To inspire, enrich and empower the imaginations of children and their families through live theatre and theatre education.",http://www.columbuschildrenstheatre.org
Zoar Community Association,"The Zoar Community Association's mission is to preserve, interpret, and celebrate the culture and heritage of the Society of Separatists and of Historic Zoar Village.",http://www.historiczoarvillage.com
DANCECleveland,To bring the passion and verve of modern and contemporary dance into the hearts and minds of the people of Northeast Ohio.,http://www.dancecleveland.org
OHIO BICYCLE FEDERATION,"Improving Ohio bicycling through legislation, education, and shared ideas.",http://ohiobike.org
BRUNNER LITERACY CENTER,The Brunner Literacy Center is a welcoming place for adults to reach their educational dreams.,http://www.brunnerliteracy.org
Robert A. Taft Information Technology  High School,Increase student learning and engagement through hands-on activities outside of the classroom,http://taftiths.cps-k12.org/
"Family and Community Services, Inc.- Valor Home",Harry Donovan Jr. Valor Home provides transitional housing to homeless male veterans in Summit County,http://fcsserves.org
TRIALS FOR HOPE INC,Our goal is to improve ones’ quality of life by providing food and essentials short term while empowering them with resources to help themselves in the future.,https://www.trialsforhope.org/
SURVIVORS INK,"Survivor's Ink exists to empower human trafficking survivors by breaking the psychological chains of enslavement through beautifying, removing, or covering their physical scars, markings, and brandings, which are constant reminders of a violent past....",http://www.survivorsink.org
CLEVELAND MARATHON CHARITIES,To provide a running experience for all individuals who want to participate regardless of their abilities. To produce an event that highlights the Cleveland community and provides a positive economic impact for the community. To give charities an opp...,http://www.clevelandmarathon.com
Jewish Family Service,"The strength of a people, the power of a community.",http://jewishtoledo.org
Wrapping Clermont Together,Our purpose is to bring greater collaboration to Clermont County poverty and rehabilitation strategies beginning during the holiday season.,http://www.wrappingclermont.com
Junior Achevement,To inspire and prepare young people to succeed in a global economy and to own their future economic success.,http://www.jacols.org
MONROE ARTS COUNCIL,Cultivating unity through creative expression.,http://monroeohioarts.com
The University of Akron,"Since our founding in 1870, The University of Akron has been committed to be in partnership with our community, region and beyond as part of our mission of teaching, learning and service. We have pursued engagement that brings together intellectual, ...",http://volunteer.ejthomashall.com
"Academic Decathlon of Ohio, Inc",Encouraging Enthusiasm for Learning and Acknowledging Academic Excellence,https://academicdecathlonofohio.org/
Center for Addiction Treatment,The Center for Addiction Treatment saves lives and rebuilds families by providing addiction recovery tools.,https://www.catsober.org
Easterseals Serving Greater Cincinnati,Breaking down barriers to build a more diverse and inclusive workforce and community.,http://www.easterseals.com/gc/
LIFE SKILLS CENTER OF CINCINNATI,"The Life Skills Educational Program is based upon the premise that at-risk students have different needs, learn at different rates and have diverse learning styles which are not currently being addressed by traditional public schools and have caused ...",http://www.lifeskillshs.com/
MUSEUM OF CONTEMPORARY ART CLEVELAND,"The Museum of Contemporary Art is a unique and dynamic place for the visual art of our time. We challenge, inspire and teach a wide range of audiences. Our purpose is to push the boundaries of innovation, creativity and exploration through exhibition...",http://www.mocacleveland.org
NEIGHBORHOOD LEADERSHIP INSTITUTE,Neighborhood Leadership Institute exists to develop grassroots leaders who help rebuild the bonds of community and improve the quality of life for neighborhood residents throughout Greater Cleveland.,http://neighborhoodleadership.org/
InRETURN,"We seek to enrich the lives of individuals who have special needs caused by traumatic brain injury, and/or other developmental disabilities. We promote independent living and personal success by providing real-world employment in a work environment t...",http://www.inreturn.org
West View Healthy Living,"The Mission of West View Healthy Living is to foster, maintain and operate a Christian continuing care senior living community that provides older persons with caring and quality servies toward the enhancement of their physical, mental and spiritual ...",n/a
SLAVIC VILLAGE DEVELOPMENT,"Slavic Village Development works with and for its residents, businesses, and institutions to promote civic engagement, community empowerment, and neighborhood investment.",http://www.slavicvillage.org/
URSULINE PIAZZA: HIV/AIDS Services,"Educating and supporting HIV-positive people to live better, healthier lives.",http://www.ursulinepiazza.org
Girls on the Run Central Ohio,"We inspire girls to be joyful, healthy and confident using a fun, experience-based curriculum which creatively integrates running. We envision a world where every girl knows and activates her limitless potential and is free to boldly pursue her dream...",http://girlsontheruncentralohio.org
INTERNATIONAL FIELD STUDIES INC,"International Field Studies, Inc. is a non-profit, educational and scientific organization established to promote and assist educators with field study programs.",http://intlfieldstudies.org
GIVING KIDS A FIGHTING CHANCE,"We’re not offering grand solutions, but instead simple things that work. Mentoring. Structure. Tutoring. And a safe and positive environment for our children to go after school.",http://www.givingkidsafightingchance.org
RESCUE MISSION OF MAHONING VALLEY,The purpose of the Rescue Mission of the Mahoning Valley is to serve and glorify God through Christ centered out reach of love and compassion that response to the physical emotional and spiritual needs of disadvantaged men women and children without ...,http://Www.rescuemissionmv.org
JOB SEEKERS NETWORK,"Jobseekers Network is a 501C3 Non-Profit Organization that helps underemployed, unemployed, individuals with disabilities and veterans find long-term careers.",http://www.jobseekersnetwork.org
HOUSE OF MEWS RESCUE,"House of Mews Rescue is an all-volunteer, foster based, non-profit 501(c)(3) organization dedicated to rescuing abused and abandoned stray cats and kittens in Northeast Ohio.",http://houseofmewsrescue.org/
North Coast Health Ministry,"North Coast Health Ministry, a faith based free clinic, providing health care services to eligible individuals in western Cuyahoga and eastern Lorain Counties.",http://www.nchealthministry.org/
Junior Achievement of Greater Cleveland,Junior Achievement inspires and prepares young people to succeed in a global economy.,http://www.jacleveland.org
Kennedy Heights Arts Center,"To enhance the life of the surrounding community through the arts and cultural experiences that embrace diversity, foster creativity and build community.",http://www.kennedyarts.org
Junior Achievement Inc.,To inspire and prepare young people to succeed in a global economy.,http://www.japartners.org
KENT SKATING CLUB,"The goal of the Kent Skating Club is to increase the awareness of figure skating in Northeast Ohio and to assist in making the sport accessible to any that would want to participate. Participation in the Kent Skating Club teaches self esteem, confide...",http://www.kentskatingclub.net
Northwest Ohio Psychiatric Hospital,Make recovery a reality while eliminating the negative associated with mental illness.,n/a
TINKERS CREEK WATERSHED PARTNERSINC,Our mission is to protect and restore water quality and habitats of the Tinker’s Creek watershed through community and individual partnerships.,http://www.tinkerscreek.org
Kenzie's CLOSET,Kenzie’s Closet provides prom attire for young ladies attending accredited high schools in the Tri-State area. Services are provided at no cost to Juniors and Seniors with current financial need.,http://www.kenziescloset.org/
THE DOMESTIC VIOLENCE SHELTER INC,"""To provide an alternative to living in a violent situation and to offer education and resources necessary for intervention and prevention of violence and to help victims make healthier choices for themselves and their families.""",http://www.thedvshelter.com/
AUNT SUSIES - CANCER WELLNESS CENTER FOR WOMEN,"Our mission is to provide compassionate care to women in Stark County, Ohio, who have been diagnosed with cancer, their caregivers, and families with day to day responsibilities. This care will be available to all women regardless of race, creed, col...",http://www.auntsusies.org
Dayton Corps - University of Dayton,"Mission: The Fitz Center for Leadership in Community cultivates servant leaders and just communities through reciprocal partnerships, engaged learning and scholarship, and community building. We live our mission to * Address the diverse, comprehensiv...",http://go.udayton.edu/DaytonCorps
Muscular Dystrophy Association,"Since its founding in 1950, the Muscular Dystrophy Association had become one of the nation's largest and best-known voluntary health agencies. MDA provides comprehensive medical services to tens of thousands of people with neuromuscular diseases at ...",n/a
Louie's Legacy Animal Rescue,"Louie’s Legacy Animal Rescue is a positive, professional 501c3 rescue organization that helps our community and shelter partners save more animals, more quickly by rescuing them, temporarily caring for them in our excellent, supportive foster h...",http://www.louieslegacy.org
Stark County Court Angels,Our mission is to determine that the needs of Stark County Wards are being met and protect them from neglect or exploitation.,http://www.starkcountyohio.gov/probate/volunteers
TOWARD INDEPENDENCE INC,To empower people with developmental disabilities to experience the fullest life possible by providing person-centered supports which enable them to integrate into a variety of settings within their community.,http://www.ti-inc.org
OHIOGUIDESTONE,"Our Vision: Future generations are educated, self-reliant and contributing members of strong communities. Our Values: 1.Faith: Faith is a belief that a force greater than ourselves supports and guides us. 2.Trust: Trust is the foundation of every rel...",http://www.ohioguidestone.org
ASSOCIATION FOR TALENT DEVELOPMENT CLEVELAND CHAPTER,"ATD Greater Cleveland is dedicated to making the Greater Cleveland workforce more productive and competitive. Toward that purpose, the Chapter provides leadership, information, and opportunities to promote the profession of workplace learning and per...",http://office@atdgreatercleveland.org
Crossroad Health Center,"To give honor to Jesus Christ by providing accessible, comprehensive health care in partnership with our patients and community, leading to healthy, changed lives.",http://www.crossroadhc.org
FRIENDS OF THE PUBLIC LIBRARY OF CINCINNATI AND HAMILTON COUNTY,The Friends of the Public Library is an association of persons dedicated to helping the Public Library of Cincinnati and Hamilton County make worlds of information and knowledge accessible to the communities it serves.,http://friends.cincinnatilibrary.org/
The Continents State University,"We works to equip future professionals with the skills, tools, and opportunities that enable faster integration into the workforce industry in the United States and around the globe by providing a free higher education to any qualified student",https://www.continents.us/
Signature HealthCare of Warren,"It is our mission as a family- based organization to revolutionize the long term care industry through a culture of resident centered healthcare services, personalized spirituality, and real quality of life initiatives. The vision, to radically chang...",http://shcofwarren.com
"Daybreak, Inc.","To eliminate youth homelessness in the Miami Valley through comprehensive and results-oriented programs, which provide safety and stability for runaway, troubled, and homeless youth.",http://www.daybreakdayton.org
Greater Cleveland Food Bank,The Greater Cleveland Food Bank's mission is ensuring that everyone our communities has the nutritious food they need every day.,http://www.greaterclevelandfoodbank.org
Foster Care to Success (formerly Orphan Foundation of America),FC2S' Mission is to: Provide opportunities for America's foster youth to continue their education. Raise awareness of the number and plight of older teens leaving the system. Illustrate the bureaucratic maze of foster care that youth encounter. Highl...,https://www.fc2success.org/
CITY MISSION,Providing help and hope to all people through the transforming power of God's love.,http://www.thecitymission.org
Centers for Dialysis Care,"The Centers for Dialysis Care (CDC) with collaborating physicians leads in quality care for patients with kidney failure through comprehensive dialysis care, research, education and related services with unsurpassed skill and leading edge technology.",http://www.cdcare.org
AFRICAN-AMERICAN VISUAL ARTISTS GUILD,"To serve the arts, artists and community by promoting, developing, empowering and cultivating visual arts and artists",http://WWW.AAVAG.ORG
EASTERN EUROPEAN CONGRESS OF OHIO,"The Eastern European Congress of Ohio (EECOH) culturally unites the people of Ohio whose ancestry and heritage are from Eastern Europe. It fosters discussions and events through bipartisanship to advance Ohio's Eastern European awareness, economic de...",http://www.eecoh.org
SMART Recovery,"SMART Recovery helps individuals gain independence from any type of addictive behavior, by providing a program of recovery based on scientific evidence about addiction and recovery. SMART Recovery also advocates for choice in recovery, so that indivi...",http://www.smartrecovery.org
Inspiring Service,"Our mission is to inspire and enable, people and organizations, to engage in volunteering that improves and strengthens their community, and themselves.",http://inspiringservice.org/
Revolution Dance Theatre,"To build cultural diversity and engagement between minority communities and dance, primarily ballet,",http://www.RevoDance.com
Faith Ranch,FAITH RANCH IS A CHRISTIAN MINISTRY SHARING THE LOVE OF JESUS IN A RANCH SETTING,http://www.faithranch.org
GUARDIAN SUPPORT SERVICES INC,"Due to the growing needs of the elderly and disabled in the community, the purpose and mission of this corporation is to assist with the provision and/or coordination of guardianship and case management services for those indigent persons subjected t...",http://www.GuardianSupportServices.com
American Cancer Society,"The American Cancer Society is the nationwide community-based voluntary health organization dedicated to eliminating cancer as a major health problem by preventing cancer, saving lives and diminishing suffering from cancer, through research, educatio...",http://www.cancer.org
OHIO VALLEY VOICES,Ohio Valley Voices mission is to teach children who are deaf to listen and talk.,http://ohiovalleyvoices.org/
K9S OF VALOR- CARE PACKAGES FOR K9S,K9s of Valor is dedicated to supporting and keeping police dogs throughout the country safe.,http://www.k9sofvalor.org
HUCKLEBERRY HOUSE INC,"Huckleberry House works with Central Ohio’s youth and families who are dealing with some of the most difficult problems imaginable. Issues like abuse, violence, neglect, poverty, and homelessness. No matter how hopeless the situation may seem, ...",http://huckhouse.org/
The Centers for Families and Children,"The mission of The Centers is to improve the lives of those it serves through integrated behavioral health, primary care, early learning, and workforce services. Its vision is to use innovation and leadership to strengthen the community by providing ...",http://www.thecentersohio.org
Youth Opportunities Unlimited (Y.O.U.),"Y.O.U. empowers youth to succeed in school, in the workplace, and in life.",http://www.youthopportunities.org
DELHI HISTORICAL SOCIETY,The preservation and dissemination of knowledge of Delhi and surrounding areas.,http://www.delhihistoricalsociety.org
"Special Olympics Ohio - Columbus, OH","The mission of Special Olympics Ohio is to provide year-round sports training and competition in a variety of Olympic-type sports for children and adults with intellectual disabilities, giving them continuing opportunities to develop physical fitness...",http://www.sooh.org
Wexner Heritage Village,"Wexner Heritage Village is a Jewish, not-for-profit provider of health, housing, social, and spiritual services in the central Ohio community, primarily serving older adults and persons with disabilities. Our mission, guided by Jewish values and trad...",http://www.whv.org
Young Achievers Ohio/Future Professionals Mentoring Program,"Young Achievers Ohio exist to provide children, youth and young adults with programs designed to direct them towards self-sufficiency and independence; to assist with the successful transition from adolescence to young adulthood.",http://Youngachieversohio.org
Christ Tabernacle Apostolic Church,"KidCity has the mission to reach the children within our community and expand the Kingdom of God; seeing children saved, empowered, healed and set-free. We accomplish this through helping children live in the way of Christ.",http://www.ctac513.org
OHIO PINK RIBBON FUND,"To provide emergency assistance to breast cancer survivors in SE Ohio, and to support education, research, detection, prevention and treatment of breast cancer.",http://www.ohiopinkribbon.net
"Art House, Inc","Art House, Inc.’s mission is to inspire exploration and expression through the visual arts. We achieve this by making art accessible to the Greater Cleveland community through instruction, encouragement, and facilities. We seek to enrich the li...",http://www.arthouseinc.org
INTENTIONAL INSIGHTS,Reverse the tide of lies and promote truth through combining behavioral science and crowd-sourcing.,https://www.protruthpledge.org/
ST JAMES DAY CARE CENTER INC,The mission of Saint James Child Development Center is to provide quality early childhood and school age programs that meet the diverse needs of the child and the families in the communities we serve.,http://www.stjameschildcare.com
Nivalis Hospice,"Our mission is to empower choice in the continuum of care for those with life limiting illness within an atmosphere of compassion, hope and dignity.",http://nivalishealth.org
Lutheran Metropolitan Ministry Men's Shelter,"Providing shelter, supportive services, and solutions to homelessness.",http://www.lutheranmetro.org
Every Child Succeeds,Preparing mothers for the work of a lifetime.,http://www.everychildsucceeds.org
COLUMBUS INSTITUTE FOR CONTEMPORARY JOURNALISM INCORPORATED,"To create smarter ways to organize to enable progressive organizations to adequately solve the mother of all challenges today: Unless we can very soon figure out how to recruit, commit, and cleverly organize massively larger number of volunteers than...",http://www.WinWisely.org
PLAY LIBRARY,To connect people and communities through play!,http://www.playlibrary.org
"Area Office on Aging of Northwestern Ohio, Inc.","The Area Office on Aging of Northwestern Ohio, Inc. promotes the health, well-being and safety of older adults, persons with disabilities and family caregivers to foster independence.",http://areaofficeonaging.com/
ROADS TO RECOVERY Autism Center,"Our hope is for Roads to Recovery to embody our collective experiences, resources, and hope for those who continue to be affected by autism.",http://www.roadstorecovery.org
LICKING COUNTY AGING PROGRAM INC,"""To improve the quality of life for Licking County senior citizens by contributing to their independence and healthy lifestyles.""",http://www.lcap.org
EDEN Inc.,EDEN’s mission is to provide housing solutions to people facing the challenges of housing insecurities and homelessness,http://www.edeninc.org
Waynesville Youth Center,"To provide effective support for the emotional and intellectual well being of all students in the greater Waynesville, OH area.",https://waynesvilleumc.org/
BOFE LUPUS FOUNDATION,"BOFE Lupus Foundation is a non-profit organization devoted to serving lupus patients, their families and caregivers through education and inspiration. We provide educational platforms, and promote advocacy to help lupus patients and their families li...",http://www.bofelupus.com
Sierra Club Ohio Chapter,"Explore, Enjoy, and Protect the Planet",http://ohio.sierraclub.org
PROVIDOM,PROVIDOM Inc. is a 501(c)(3) non-profit organization with a mission to create a shift in your relationship with money through financial literacy and access to solutions that promote and support holistic financial freedom!,n/a
